n-body,1,1.215
n-body,2,1.172
n-body,3,1.166
n-body,4,1.209
n-body,5,1.159
n-body,6,1.185
nsieve-bits,1,0.806
nsieve-bits,2,0.816
nsieve-bits,3,0.831
nsieve-bits,4,0.793
nsieve-bits,5,0.769
nsieve-bits,6,0.788
objinst,1,3.407
objinst,2,3.360
objinst,3,3.369
objinst,4,3.400
objinst,5,3.320
objinst,6,3.403
oourafft,1,8.615
oourafft,2,8.994
oourafft,3,8.658
oourafft,4,8.686
oourafft,5,8.682
oourafft,6,8.665
Oscar,1,./runeval.sh: line 49: ./benchmarks/bin/Oscar.exe: No such file or directory
0.001
Oscar,2,./runeval.sh: line 49: ./benchmarks/bin/Oscar.exe: No such file or directory
0.001
Oscar,3,./runeval.sh: line 49: ./benchmarks/bin/Oscar.exe: No such file or directory
0.001
Oscar,4,./runeval.sh: line 49: ./benchmarks/bin/Oscar.exe: No such file or directory
0.001
Oscar,5,./runeval.sh: line 49: ./benchmarks/bin/Oscar.exe: No such file or directory
0.001
Oscar,6,./runeval.sh: line 49: ./benchmarks/bin/Oscar.exe: No such file or directory
0.001
partialsums,1,0.418
partialsums,2,0.453
partialsums,3,0.428
partialsums,4,0.461
partialsums,5,0.459
partialsums,6,0.420
perlin,1,6.053
perlin,2,6.044
perlin,3,6.054
perlin,4,5.977
perlin,5,6.049
perlin,6,6.008
Perm,1,0.060
Perm,2,0.059
Perm,3,0.053
Perm,4,0.050
Perm,5,0.060
Perm,6,0.056
pi,1,0.708
pi,2,0.653
pi,3,0.702
pi,4,0.724
pi,5,0.655
pi,6,0.701
puzzle,1,1.162
puzzle,2,1.168
puzzle,3,1.202
puzzle,4,1.163
puzzle,5,1.170
puzzle,6,1.174
Quicksort,1,0.070
Quicksort,2,0.087
Quicksort,3,0.087
Quicksort,4,0.087
Quicksort,5,0.069
Quicksort,6,0.087
random,1,2.132
random,2,2.114
random,3,2.148
random,4,2.205
random,5,2.145
random,6,2.146
RealMM,1,0.005
RealMM,2,0.006
RealMM,3,0.004
RealMM,4,0.006
RealMM,5,0.006
RealMM,6,0.006
recursive,1,1.770
recursive,2,1.768
recursive,3,1.748
recursive,4,1.791
recursive,5,1.789
recursive,6,1.779
ReedSolomon,1,./runeval.sh: line 49: ./benchmarks/bin/ReedSolomon.exe: No such file or directory
0.001
ReedSolomon,2,./runeval.sh: line 49: ./benchmarks/bin/ReedSolomon.exe: No such file or directory
0.001
ReedSolomon,3,./runeval.sh: line 49: ./benchmarks/bin/ReedSolomon.exe: No such file or directory
0.001
ReedSolomon,4,./runeval.sh: line 49: ./benchmarks/bin/ReedSolomon.exe: No such file or directory
0.001
ReedSolomon,5,./runeval.sh: line 49: ./benchmarks/bin/ReedSolomon.exe: No such file or directory
0.001
ReedSolomon,6,./runeval.sh: line 49: ./benchmarks/bin/ReedSolomon.exe: No such file or directory
0.001
salsa20,1,9.758
salsa20,2,9.483
salsa20,3,9.240
salsa20,4,9.235
salsa20,5,9.975
salsa20,6,9.759
sieve,1,12.623
sieve,2,12.502
sieve,3,12.496
sieve,4,12.450
sieve,5,12.488
sieve,6,12.508
spectral-norm,1,0.764
spectral-norm,2,0.766
spectral-norm,3,0.730
spectral-norm,4,0.763
spectral-norm,5,0.731
spectral-norm,6,0.710
strcat,1,0.146
strcat,2,0.146
strcat,3,0.151
strcat,4,0.173
strcat,5,0.152
strcat,6,0.150
Towers,1,0.044
Towers,2,0.053
Towers,3,0.042
Towers,4,0.052
Towers,5,0.042
Towers,6,0.043
Treesort,1,0.098
Treesort,2,0.078
Treesort,3,0.078
Treesort,4,0.085
Treesort,5,0.104
Treesort,6,0.118
